Message stats for scenario BubbleRap_TTL10
sim_time: 259200.0000
created: 1000
started: 256
relayed: 175
aborted: 81
dropped: 1059
removed: 53
delivered: 61
delivery_prob: 0.0610
deliverycost: 0.1750
response_prob: 0.0000
overhead_ratio: 1.8689
latency_avg: 148.3934
latency_med: 57.0000
hopcount_avg: 3.3770
hopcount_med: 4
buffertime_avg: 532.2860
buffertime_med: 567.0000
rtt_avg: NaN
rtt_med: NaN

Message: message path and copies

Y642(CreateFrom:n53,Dest:n88): {n90=2, n53=7}
Y641(CreateFrom:n62,Dest:n97): {n62=8}
Y636(CreateFrom:n91,Dest:n92): {n91=8}
Y637(CreateFrom:n82,Dest:n63): {n82=8}
Y638(CreateFrom:n10,Dest:n21): {n10=8}
Y639(CreateFrom:n44,Dest:n97): {n44=8}
Y696(CreateFrom:n38,Dest:n5): {n38=8}
Y697(CreateFrom:n17,Dest:n80): {n17=8}
Y889(CreateFrom:n32,Dest:n97): {n32=8}
Y694(CreateFrom:n0,Dest:n50): {n0=8}
Y695(CreateFrom:n41,Dest:n40): {n41=8}
Y698(CreateFrom:n45,Dest:n30): {n45=8}
Y699(CreateFrom:n95,Dest:n37): {n95=8}
Y692(CreateFrom:n26,Dest:n20): {n26=8}
Y693(CreateFrom:n10,Dest:n18): {n10=8}
Y690(CreateFrom:n69,Dest:n86): {n69=7, n63=2}
Y691(CreateFrom:n48,Dest:n64): {n48=8}
Y891(CreateFrom:n84,Dest:n36): {n84=8}
Y890(CreateFrom:n29,Dest:n72): {n29=8}
Y895(CreateFrom:n29,Dest:n37): {n29=8}
Y894(CreateFrom:n35,Dest:n71): {n35=8}
Y893(CreateFrom:n31,Dest:n96): {n31=8}
Y892(CreateFrom:n47,Dest:n52): {n47=8}
Y899(CreateFrom:n83,Dest:n2): {n83=8}
Y898(CreateFrom:n46,Dest:n33): {n46=8}
Y897(CreateFrom:n32,Dest:n0): {n32=8}
Y896(CreateFrom:n74,Dest:n44): {n74=8}
Y678(CreateFrom:n41,Dest:n78): {n41=8}
Y679(CreateFrom:n67,Dest:n23): {n67=8}
Y676(CreateFrom:n17,Dest:n50): {n17=8}
Y677(CreateFrom:n5,Dest:n37): {n5=8}
Y869(CreateFrom:n7,Dest:n80): {n7=8}
Y674(CreateFrom:n56,Dest:n96): {n56=8}
Y675(CreateFrom:n81,Dest:n10): {n81=8}
Y867(CreateFrom:n41,Dest:n49): {n41=8}
Y672(CreateFrom:n59,Dest:n84): {n59=8}
Y868(CreateFrom:n52,Dest:n46): {n52=8}
Y673(CreateFrom:n6,Dest:n31): {n6=8}
Y670(CreateFrom:n57,Dest:n94): {n57=8}
Y671(CreateFrom:n70,Dest:n72): {n70=8}
Y99(CreateFrom:n60,Dest:n8): {n60=8}
Y98(CreateFrom:n64,Dest:n52): {n64=8}
Y877(CreateFrom:n57,Dest:n36): {n57=8}
Y95(CreateFrom:n50,Dest:n14): {n50=8}
Y876(CreateFrom:n5,Dest:n69): {n5=8}
Y94(CreateFrom:n45,Dest:n94): {n45=8}
Y875(CreateFrom:n42,Dest:n51): {n42=8}
Y97(CreateFrom:n59,Dest:n70): {n59=0, n70=0}
Y874(CreateFrom:n24,Dest:n21): {n24=8, n21=0}
Y96(CreateFrom:n29,Dest:n88): {n29=8}
Y873(CreateFrom:n49,Dest:n16): {n49=8}
Y91(CreateFrom:n59,Dest:n86): {n59=8}
Y872(CreateFrom:n39,Dest:n46): {n39=8}
Y90(CreateFrom:n37,Dest:n50): {n37=8}
Y871(CreateFrom:n56,Dest:n4): {n56=8}
Y93(CreateFrom:n14,Dest:n30): {n14=8}
Y870(CreateFrom:n91,Dest:n52): {n91=8}
Y92(CreateFrom:n44,Dest:n20): {n44=8}
Y669(CreateFrom:n71,Dest:n66): {n71=8}
Y687(CreateFrom:n45,Dest:n5): {n45=8}
Y688(CreateFrom:n29,Dest:n12): {n29=8}
Y689(CreateFrom:n63,Dest:n93): {n63=8}
Y878(CreateFrom:n9,Dest:n60): {n9=8}
Y683(CreateFrom:n61,Dest:n49): {n61=8}
Y879(CreateFrom:n38,Dest:n7): {n38=8}
Y684(CreateFrom:n15,Dest:n45): {n15=8}
Y685(CreateFrom:n57,Dest:n50): {n57=8}
Y686(CreateFrom:n29,Dest:n95): {n29=8}
Y680(CreateFrom:n52,Dest:n88): {n52=8, n88=0}
Y681(CreateFrom:n28,Dest:n14): {n28=8}
Y682(CreateFrom:n27,Dest:n23): {n27=8}
Y880(CreateFrom:n49,Dest:n4): {n49=8}
Y89(CreateFrom:n41,Dest:n87): {n70=2, n87=0, n41=6}
Y88(CreateFrom:n6,Dest:n79): {n6=8}
Y87(CreateFrom:n14,Dest:n62): {n14=8}
Y886(CreateFrom:n86,Dest:n47): {n86=8}
Y86(CreateFrom:n22,Dest:n96): {n22=8}
Y885(CreateFrom:n67,Dest:n81): {n67=8}
Y85(CreateFrom:n73,Dest:n29): {n73=8}
Y888(CreateFrom:n71,Dest:n56): {n71=8}
Y84(CreateFrom:n94,Dest:n1): {n94=8}
Y887(CreateFrom:n50,Dest:n30): {n50=8}
Y83(CreateFrom:n2,Dest:n34): {n2=8}
Y882(CreateFrom:n9,Dest:n37): {n9=8}
Y82(CreateFrom:n26,Dest:n60): {n26=8}
Y881(CreateFrom:n3,Dest:n21): {n3=8}
Y81(CreateFrom:n32,Dest:n38): {n32=8}
Y884(CreateFrom:n33,Dest:n65): {n33=8}
Y80(CreateFrom:n63,Dest:n94): {n63=8}
Y883(CreateFrom:n56,Dest:n28): {n56=8}
